	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/swedish_samples/centrifuge_output/Adal-1_RunId0094_LaneId7.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/swedish_samples/centrifuge_output/Adal-2_RunId0094_LaneId7.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/swedish_samples/centrifuge_output/Adal-3_RunId0094_LaneId7.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/swedish_samples/centrifuge_output/Adal-4_RunId0094_LaneId7.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/swedish_samples/centrifuge_output/Adal-5_RunId0094_LaneId7.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/swedish_samples/centrifuge_output/Adal-6_RunId0094_LaneId7.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/swedish_samples/centrifuge_output/Adal-7_RunId0094_LaneId7.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/swedish_samples/centrifuge_output/Adal-8_RunId0094_LaneId7.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/swedish_samples/centrifuge_output/Adal-9_RunId0094_LaneId7.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/swedish_samples/centrifuge_output/Control_1_RunId0094_LaneId7.R1.fq.report
Dactylopodolidae	0	0	0	0	0	0	0	0	0	0
Galagidae	4	10	0	11	0	48	6	0	0	0
Phaeosphaeriaceae	32	13	3	552	0	140	110	0	0	1
Elephantidae	7	20	2	9	0	123	5	0	0	0
Apogonidae	0	0	0	0	0	1	0	0	0	0
Pteromalidae	8	52	1	9	0	166	5	0	0	0
Ciidae	0	0	0	0	0	0	0	0	0	0
Chroomonadaceae	1	2	0	0	0	2	0	0	0	0
Ictaluridae	10	25	1	12	0	131	3	0	0	0
Orthotrichaceae	0	1	0	1	0	0	0	0	0	0
Tyrannidae	0	0	0	0	0	0	0	0	0	0
Huaceae	0	0	0	0	0	0	0	0	0	0
Alopiidae	1	1	0	0	0	1	0	0	0	0
Flabellulidae	0	0	0	0	0	1	0	0	0	0
Legeriomycetaceae	1	0	2	0	0	0	0	0	0	0
Cytheruridae	0	0	0	0	0	0	0	0	0	0
Axiidae	0	0	0	0	0	1	0	0	0	0
Cyprinidae	1495	6398	669	1310	0	15991	665	1	20	22
Characidae	10	23	2	10	0	147	10	0	0	0
Ptilodactylidae	0	0	0	0	0	1	0	0	0	0
Butomaceae	0	0	0	0	0	0	0	0	0	0
Physalacriaceae	0	0	0	2	0	2	1	0	0	0
Bugulidae	1	0	0	0	0	1	0	0	0	0
Campanulariidae	0	0	0	0	0	2	0	0	0	0
Pedaliaceae	10	20	0	11	0	90	5	0	0	0
Bolbitiaceae	0	0	0	0	0	1	0	0	0	0
Botryococcaceae	0	1	0	0	0	3	1	0	0	0
Xylonomycetaceae	5	2	0	15	0	27	8	0	0	0
Calypogeiaceae	0	0	0	0	0	0	0	0	0	0
Tachyglossidae	1	0	0	0	0	0	0	0	0	0
Threskiornithidae	1	7	0	2	0	13	0	0	0	0
Bacillidae	0	0	0	2	0	7	0	0	0	1
Mischococcaceae	0	0	0	0	0	0	0	0	0	0
Parameciidae	19	106	5	20	0	393	5	0	0	0
Proboscidactylidae	0	0	0	0	0	1	0	0	0	0
Pichiaceae	4	9	2	15	0	56	0	0	0	0
Mycetophilidae	0	0	0	0	0	2	0	0	0	0
Chirostylidae	0	0	0	0	0	0	0	0	0	0
Patellidae	0	0	0	0	0	1	0	0	0	0
Abylidae	0	0	0	0	0	0	0	0	0	0
Bovidae	687	2689	85	584	0	7683	223	3	0	9
Umbilicariaceae	0	0	0	0	0	0	1	0	0	0
Ustilaginaceae	31	19	14	67	0	259	44	0	0	0
Commelinaceae	0	0	0	0	0	1	0	0	0	0
Anthomyiidae	0	0	0	0	0	1	0	0	0	0
Andrenidae	1	5	0	0	0	7	2	0	0	0
Cruoriaceae	0	0	0	1	0	1	0	0	0	0
Herpotrichiellaceae	94	45	19	251	0	657	77	0	0	2
Lepidopsocidae	0	1	0	0	0	0	0	0	0	0
Branchiostomidae	7	22	6	22	0	133	7	0	0	0
Endeidae	0	0	0	0	0	0	0	0	0	0
Cavoliniidae	0	0	0	0	0	0	0	0	0	0
Archaeobalanidae	0	0	0	0	0	0	0	0	0	0
Calyptraeidae	0	0	1	0	0	1	0	0	0	0
Forficulidae	0	0	0	0	0	1	0	0	0	0
Darwinulidae	0	0	0	0	0	1	0	0	0	0
Anisopodidae	0	0	0	0	0	1	0	0	0	0
Fagaceae	9	10	1	2	0	64	5	0	0	0
Benthopectinidae	0	1	0	0	0	0	0	0	0	0
Helicarionidae	0	0	0	0	0	0	0	0	0	0
Cucurbitaceae	125	399	13	103	0	1581	65	0	0	3
Diapriidae	1	4	0	0	0	3	0	0	0	0
Tegulidae	0	0	0	0	0	0	0	0	0	0
Valsaceae	0	0	0	0	0	1	0	0	0	0
Mimallonidae	0	0	0	1	0	0	0	0	0	0
Brunelliaceae	0	0	0	0	0	2	0	0	0	0
Leptodactylidae	0	0	0	0	0	0	0	0	0	0
Sympoventuriaceae	2	3	1	14	0	39	6	0	0	0
Strabomantidae	0	1	0	0	0	0	0	0	0	0
Ascarididae	91	340	18	125	0	1315	44	1	2	4
Anisakidae	22	96	3	32	0	403	11	0	0	0
Casuariidae	0	0	0	0	0	0	0	0	0	0
Hirundinidae	2	0	0	1	0	1	0	0	0	0
Leucosiidae	0	0	0	0	0	1	0	0	0	0
Catenotaeniidae	1	0	0	0	0	0	0	0	0	0
Drepaneidae	0	0	0	0	0	0	0	0	0	0
Orbiniidae	0	0	0	0	0	0	0	0	0	0
Gongylonematidae	51	151	7	60	0	713	15	0	1	1
Tethyidae	0	0	0	0	0	2	0	0	0	0
Adoxaceae	0	0	0	0	0	1	0	0	0	0
Zosteraceae	0	0	0	1	0	5	0	0	0	0
Vireonidae	0	1	0	0	0	0	0	0	0	0
Chloranthaceae	0	0	0	0	0	0	0	0	0	0
Bythograeidae	0	0	0	0	0	1	0	0	0	0
Dunaliellaceae	0	0	0	0	0	3	0	0	0	0
Pyrgomorphidae	0	0	0	0	0	0	0	0	0	0
Dipterocarpaceae	0	0	0	0	0	0	0	0	0	0
Stictidaceae	0	0	0	0	0	1	0	0	0	0
Aneuraceae	0	0	0	1	0	16	0	0	0	0
Mycoblastaceae	0	0	0	0	0	1	0	0	0	0
Leptoceridae	0	0	0	1	0	1	1	0	0	0
Procaviidae	0	1	0	0	0	5	0	0	0	0
Ammodytidae	0	0	0	0	0	1	0	0	0	0
Pomacentridae	17	57	4	23	0	187	5	0	0	0
Stylocellidae	0	1	0	0	0	0	0	0	0	0
Selachinematidae	0	0	0	0	0	0	0	0	0	0
Pycnoraceae	0	0	0	0	0	1	0	0	0	0
Schizymeniaceae	0	2	0	0	0	0	0	0	0	0
Elmidae	0	1	0	0	0	0	0	0	0	0
Carukiidae	0	0	0	0	0	1	0	0	0	0
Ceratophyllaceae	0	0	0	0	0	0	0	0	0	0
Hamamelidaceae	0	0	0	0	0	1	0	0	0	0
Dixoniellaceae	1	1	0	1	0	7	0	0	0	0
Hygromiidae	0	0	0	3	0	3	0	0	0	0
Rhacophoridae	0	0	0	0	0	2	0	0	0	0
Gadidae	0	0	0	1	0	3	0	0	0	0
Oxyopidae	0	0	0	0	0	0	0	0	0	0
Triaenonychidae	0	0	0	0	0	1	0	0	0	0
Combretaceae	0	0	0	0	0	1	0	0	0	0
Gymnuridae	0	0	0	0	0	1	0	0	0	0
Physeteridae	0	1	0	0	0	2	0	0	0	0
Megapodagrionidae	0	0	0	0	0	1	0	0	0	0
Sphaeropleaceae	0	0	0	0	0	3	0	0	0	0
Simuliidae	0	0	0	0	0	5	0	0	0	0
Cordycipitaceae	29	7	5	41	0	192	23	0	0	1
Fucaceae	0	0	0	0	0	2	0	0	0	0
Candelabridae	0	0	0	0	0	0	0	0	0	0
Chironomidae	4	8	0	2	0	25	1	0	0	0
Rhopalopsyllidae	0	0	0	0	0	0	0	0	0	0
Strongylidae	102	297	9	121	0	1385	31	1	0	4
Achatinidae	0	1	0	0	0	0	0	0	0	0
Pollicipedidae	0	0	0	0	0	0	0	0	0	0
Venturiaceae	0	0	0	0	0	1	0	0	0	0
Clothodidae	0	0	0	0	0	0	0	0	0	0
Potamonautidae	0	0	0	0	0	0	0	0	0	0
Noelaerhabdaceae	6	7	4	20	0	77	7	0	0	0
Camptobasidiaceae	0	0	0	0	0	0	0	0	0	0
Pteriidae	0	2	0	0	0	3	0	0	0	0
Sulidae	0	0	0	0	0	0	0	0	0	0
Lepismatidae	0	2	0	0	0	2	0	0	0	0
Varroidae	2	14	3	8	0	48	0	0	0	0
Strombidinopsidae	0	0	0	0	0	0	0	0	0	0
Aiptasiidae	8	26	1	16	0	127	4	0	0	0
Cyphellophoraceae	4	2	0	22	0	51	12	0	0	0
Cirolanidae	0	0	0	0	0	0	0	0	0	0
Cimicidae	12	23	1	4	0	95	3	0	0	0
Salviniaceae	1	0	0	0	0	1	0	0	0	0
Cantharidae	1	1	0	0	0	0	0	0	0	0
Graphidaceae	1	0	2	2	0	3	2	0	0	0
Pangasiidae	0	0	0	0	0	1	0	0	0	0
Leptocylindraceae	0	0	0	0	0	1	0	0	0	0
Fabaceae	590	1935	110	498	0	7149	236	2	1	9
Myxinidae	8	29	5	9	0	80	7	0	0	0
Ophiacanthidae	1	0	0	0	0	0	0	0	0	0
Hiatellidae	0	0	0	0	0	1	0	0	0	0
Heligmosomatidae	166	462	15	82	0	1437	45	0	0	1
Aphelinidae	0	0	0	1	0	5	0	0	0	0
Pleurotaceae	0	1	0	1	0	13	0	0	0	0
Polygonaceae	0	0	0	0	0	3	0	0	0	0
Crassulaceae	0	0	0	0	0	3	0	0	0	0
Brentidae	0	0	0	0	0	2	0	0	0	0
Paulinellidae	1	4	0	1	0	17	1	0	0	0
Mytilidae	1	0	0	0	0	9	0	0	0	0
Blephariceridae	0	0	0	1	0	0	0	0	0	0
Cryphonectriaceae	2	0	0	1	0	4	0	0	0	0
Ischyroceridae	0	0	0	0	0	2	0	0	0	0
Blattidae	0	1	0	0	0	2	0	0	0	0
Belidae	0	0	0	0	0	0	0	0	0	0
Colubridae	5	18	2	4	0	85	1	0	0	0
Anteagloniaceae	0	0	0	0	0	0	0	0	0	0
Piperaceae	0	0	0	0	0	3	0	0	0	0
Lingulidae	14	41	4	9	0	132	1	0	0	0
Nemacheilidae	0	1	0	0	0	2	0	0	0	0
Timaliidae	0	0	0	0	0	2	0	0	0	0
Caulerpaceae	0	0	0	0	0	3	1	0	0	0
Eucommiaceae	0	0	0	0	0	1	0	0	0	0
Cerebratulidae	0	0	0	0	0	0	0	0	0	0
Erysiphaceae	1	0	0	2	0	5	1	0	0	0
Schizaeaceae	0	0	0	0	0	2	0	0	0	0
Caryocaraceae	0	0	0	0	0	0	1	0	0	0
Udoteaceae	0	0	0	0	0	1	0	0	0	0
Cynomoriaceae	0	1	0	0	0	2	0	0	0	0
Gleicheniaceae	0	0	0	0	0	1	0	0	0	0
Plectosphaerellaceae	12	5	8	26	0	95	16	0	0	0
Dennstaedtiaceae	0	0	0	0	0	2	0	0	0	0
Acanaloniidae	0	0	0	0	0	0	0	0	0	0
Siboglinidae	1	2	0	0	0	3	0	0	0	0
Trichobranchidae	0	0	0	0	0	0	0	0	0	0
Cystopteridaceae	0	0	0	0	0	1	0	0	0	0
Clausiliidae	0	2	0	0	0	5	0	0	0	0
Heligmonellidae	63	137	13	42	0	675	22	0	0	1
Anabantidae	0	0	0	1	0	1	0	0	0	0
Orculidae	0	2	0	0	0	0	0	0	0	0
Scapaniaceae	0	0	0	0	0	0	0	0	0	0
Phaethontidae	1	8	0	0	0	17	0	0	0	0
Muscidae	11	44	9	24	0	233	7	0	0	0
Paeoniaceae	0	0	0	0	0	1	0	0	0	0
Rhopalidae	0	0	0	0	0	0	0	0	0	0
Enterocytozoonidae	1	4	0	1	0	17	0	0	0	0
Ceratopogonidae	120	432	19	89	0	1575	38	0	0	2
Dicroglossidae	2	5	0	7	0	54	1	0	0	0
Oestridae	0	1	0	0	0	1	0	0	0	0
Drosophilidae	544	2261	50	279	0	4364	83	1	0	5
Chrysochloridae	2	4	0	0	0	21	1	0	0	0
Tetragnathidae	0	0	0	0	0	1	0	0	0	0
Austropetaliidae	0	0	0	0	0	0	0	0	0	0
Hypoderatidae	0	0	0	0	0	1	0	0	0	0
Ostraciidae	0	0	0	0	0	0	0	0	0	0
Helicidae	1	0	0	0	0	0	0	0	0	0
Stemonuraceae	0	1	0	0	0	0	0	0	0	0
Sphingidae	0	1	0	4	0	62	0	0	0	0
Prodidomidae	0	0	0	0	0	0	0	0	0	0
Astropectinidae	0	0	0	0	0	0	0	0	0	0
Phaeodactylaceae	1	1	0	2	0	14	2	0	0	0
Babesiidae	4	19	0	6	0	60	3	0	0	0
Characeae	0	1	0	0	0	2	0	0	0	0
Callaeatidae	0	0	0	0	0	0	0	0	0	0
Ophiocomidae	0	0	0	0	0	0	0	0	0	0
Epiophlebiidae	0	1	0	0	0	0	0	0	0	0
Salamandridae	1	0	0	0	0	3	1	0	0	0
Thraupidae	0	3	3	2	0	11	0	0	0	0
Psittaculidae	0	1	2	1	0	7	0	0	0	0
Membracidae	1	20	0	0	0	13	0	0	0	0
Sapygidae	0	0	0	0	0	0	1	0	0	0
Funariaceae	3	13	0	5	0	59	2	0	0	0
Scutelleridae	0	0	0	0	0	2	0	0	0	0
Brachionidae	0	1	0	0	0	13	0	0	0	0
Cynipidae	0	0	0	0	0	0	0	0	0	0
Trichomonadidae	15	33	4	7	0	174	5	0	1	0
Eucharitidae	0	0	0	0	0	0	1	0	0	0
Cladonematidae	0	0	0	0	0	3	0	0	0	0
Arthroleptidae	0	0	0	0	0	1	0	0	0	0
Roccellaceae	0	0	0	1	0	1	0	0	0	0
Lophiidae	0	1	0	0	0	0	0	0	0	0
Portunidae	0	0	0	1	0	4	0	0	0	0
Phloeostichidae	2	0	0	0	0	1	0	0	0	0
Colchicaceae	0	0	0	0	0	0	0	0	0	0
Lobariaceae	4	2	0	0	0	2	1	0	0	0
Pemphigidae	0	0	0	0	0	10	0	0	0	0
Malmideaceae	0	0	0	0	0	0	0	0	0	0
Papaveraceae	0	0	0	1	0	1	0	0	0	0
Corymorphidae	0	0	0	0	0	2	0	0	0	0
Lecideaceae	0	0	0	0	0	0	0	0	0	0
Ranixalidae	0	0	0	0	0	0	0	0	0	0
Meloidogynidae	0	0	0	0	0	5	0	0	0	0
Tetragoniomycetaceae	0	0	0	0	0	0	0	0	0	0
Dotillidae	1	0	0	0	0	0	0	0	0	0
Sialidae	0	0	0	0	0	1	0	0	0	0
Lamiaceae	0	4	0	0	0	6	0	0	0	0
Bolinopsidae	0	0	0	0	0	2	0	0	0	0
Delesseriaceae	0	3	1	0	0	12	0	0	0	0
Meliaceae	0	0	0	0	0	6	0	0	0	0
Ostreidae	30	89	8	30	0	405	1	0	0	1
Clavelinidae	0	0	0	0	0	0	0	0	0	0
Ophiocordycipitaceae	11	9	5	21	0	67	18	0	0	0
Cichlidae	19	60	5	13	0	210	5	0	0	0
Ahnfeltiaceae	0	1	0	0	0	4	0	0	0	0
Neocallimastigaceae	0	3	0	1	0	2	1	0	0	0
Squillidae	0	0	0	0	0	1	0	0	0	0
Trichodectidae	1	0	0	0	0	0	0	0	0	0
Alstroemeriaceae	0	0	0	0	0	1	0	0	0	0
Scincidae	0	2	0	0	0	9	0	0	0	0
Nartheciaceae	0	0	0	0	0	0	0	0	0	0
Tayassuidae	0	0	0	0	0	0	0	0	0	0
Nemouridae	0	0	0	0	0	0	0	0	0	0
Phocidae	5	4	0	3	0	21	1	0	0	0
Marantaceae	0	0	0	0	0	2	0	0	0	0
Pseudogarypidae	0	0	0	0	0	1	0	0	0	0
Hofsteniidae	0	0	0	0	0	0	0	0	0	0
Partulidae	0	0	0	0	0	1	0	0	0	0
Bromeliaceae	2	15	2	12	0	59	2	0	0	0
Peridiniaceae	0	0	0	1	0	1	0	0	0	0
Capnodiaceae	0	0	0	0	0	1	0	0	0	0
Tabanidae	0	0	0	0	0	1	1	0	0	0
Tarachodidae	0	0	0	0	0	2	0	0	0	0
Saprolegniaceae	17	12	7	43	0	168	16	0	0	0
Entomobryidae	0	0	0	0	0	3	0	0	0	0
Amiidae	0	1	0	0	0	2	0	0	0	0
Styelidae	0	0	0	0	0	2	0	0	0	0
Sabaconidae	0	0	0	0	0	0	0	0	0	0
Coreidae	0	5	0	0	0	1	0	0	0	0
Sepiidae	1	0	0	1	0	6	0	0	0	0
Notocotylidae	0	0	0	0	0	0	0	0	0	0
Andrognathidae	0	4	0	0	0	1	0	0	0	0
Theaceae	0	2	0	6	0	61	0	0	0	0
Porpidiaceae	3	1	0	8	0	16	1	0	0	0
Laemophloeidae	0	0	0	0	0	0	0	0	0	0
Parastacidae	0	0	1	0	0	7	0	0	0	0
Uenoidae	0	0	0	0	0	0	0	0	0	0
Physidae	0	0	0	0	0	1	0	0	0	0
Alpheidae	0	1	0	0	0	3	0	0	0	0
Bonnemaisoniaceae	0	2	0	0	0	2	0	0	0	0
Solenofilomorphidae	0	0	0	0	0	0	0	0	0	0
Anatidae	8	53	2	10	0	135	7	0	0	0
Velloziaceae	0	0	0	0	0	1	0	0	0	0
Galaxauraceae	0	1	0	0	0	0	0	0	0	0
Goodeniaceae	0	0	0	0	0	0	0	0	0	0
Nereididae	0	4	0	0	0	9	0	0	0	0
Strigidae	0	0	0	0	0	1	0	0	0	0
Dreissenidae	0	0	0	0	0	1	0	0	0	0
Chromochloridaceae	0	1	0	0	0	2	0	0	0	0
Furnariidae	0	0	0	0	0	0	0	0	0	0
Phymatidae	0	1	0	0	0	1	0	0	0	0
Lycopodiaceae	0	2	0	0	0	1	0	0	0	0
Myxotrichaceae	0	0	0	1	0	2	0	0	0	0
Lampyridae	1	0	0	1	0	0	0	0	0	0
Cryptopidae	0	0	0	0	0	2	0	0	0	0
Sciomyzidae	0	1	0	0	0	1	0	0	0	0
Bothidae	1	0	0	0	0	0	0	0	0	0
Athyriaceae	1	0	0	0	0	3	0	0	0	0
Ebenaceae	0	0	0	0	0	2	0	0	0	0
Rhizophoraceae	0	0	0	0	0	1	0	0	0	0
Calycanthaceae	0	0	0	0	0	1	0	0	0	0
Dryomyzidae	0	0	0	0	0	0	0	0	0	0
Hemerobiidae	0	0	0	0	0	2	0	0	0	0
Campichoetidae	0	0	0	0	0	0	0	0	0	0
Spizellomycetaceae	2	1	0	4	0	28	1	0	0	0
Cryptococcaceae	8	38	2	40	0	202	30	0	0	1
Pteridaceae	0	0	0	3	0	4	0	0	0	0
Protomycetaceae	0	0	0	0	0	1	0	0	0	0
Proteromonadidae	0	1	0	0	0	0	0	0	0	0
Claroideoglomeraceae	0	0	0	0	0	1	0	0	0	0
Opisthorchiidae	3	11	1	2	0	32	0	0	0	0
Omphalotaceae	0	2	0	0	0	1	0	0	0	0
Lycosidae	2	3	0	0	0	6	0	0	0	0
Aplodontiidae	0	0	0	1	0	2	0	0	0	0
Berkeleyaceae	0	0	0	1	0	0	0	0	0	0
Eriophyidae	0	0	0	0	0	1	1	0	0	0
Lymnaeidae	0	3	0	0	0	2	0	0	0	0
Ranunculaceae	1	6	0	1	0	17	0	0	0	0
Chenopodiaceae	24	84	6	33	0	395	21	0	0	0
Platycephalidae	0	0	0	0	0	2	0	0	0	0
Nonionidae	0	0	0	0	0	1	0	0	0	0
Pycnococcaceae	0	0	0	0	0	0	0	0	0	0
Taeniidae	30	98	6	33	0	497	10	0	1	1
Ithonidae	0	0	0	0	0	1	0	0	0	0
Reduviidae	21	57	0	1	0	103	0	0	0	0
Blastobasidae	0	0	0	0	0	1	0	0	0	0
Tarsiidae	3	3	2	8	0	40	1	0	0	0
Daubentoniidae	0	0	0	0	0	1	0	0	0	0
Boletaceae	1	0	0	2	0	0	0	0	0	0
Malaconothridae	0	0	0	0	0	0	0	0	0	0
Punctulariaceae	2	1	1	11	0	28	7	0	0	0
Cryptomycetaceae	0	0	0	0	0	0	0	0	0	0
Hyaenidae	0	0	0	0	0	0	0	0	0	0
Viviparidae	0	0	0	0	0	1	0	0	0	0
Agonidae	0	0	0	0	0	3	0	0	0	0
Bradybaenidae	0	0	0	0	0	4	0	0	0	0
Tischeriidae	0	0	0	0	0	1	0	0	0	0
Dothioraceae	0	0	0	0	0	0	0	0	0	0
Amphidiniopsidaceae	0	0	0	0	0	0	0	0	0	0
Blenniidae	0	0	0	0	0	3	0	0	0	0
Stylopidae	0	0	0	0	0	0	0	0	0	0
Cyclopidae	0	0	0	0	0	2	0	0	0	0
Moraceae	2	3	4	5	0	47	7	0	0	0
Vespertilionidae	11	32	5	10	0	142	4	0	0	0
Psychidae	0	0	0	0	0	19	0	0	0	0
Ammoxenidae	0	0	0	2	0	3	0	0	0	0
Caenolestidae	0	0	0	0	0	0	0	0	0	0
Orthodontiaceae	0	0	0	0	0	0	0	0	0	0
Typhlopidae	0	0	0	0	0	0	0	0	0	0
Colletidae	0	0	0	1	0	1	0	0	0	0
Cisticolidae	0	0	0	0	0	1	0	0	0	0
Yponomeutidae	1	0	0	0	0	43	0	0	0	0
Costasiellidae	0	0	0	0	0	0	0	0	0	0
Perkinsidae	0	4	1	1	0	14	1	0	0	0
Philopotamidae	0	0	0	0	0	1	0	0	0	0
Corydalidae	0	1	0	0	0	0	0	0	0	0
Maluridae	0	0	0	0	0	0	0	0	0	0
Neochloridaceae	0	2	0	0	0	2	0	0	0	0
Monimiaceae	0	0	0	0	0	2	0	0	0	0
Phlaeothripidae	0	0	0	0	0	0	0	0	0	0
Rubiaceae	2	7	0	4	0	16	1	0	0	0
Hybotidae	0	0	0	0	0	0	0	0	0	0
Nassariidae	0	0	0	0	0	0	0	0	0	0
Austroperlidae	0	0	0	0	0	0	0	0	0	0
Mychonastaceae	0	0	0	0	0	0	0	0	0	0
Artemiidae	0	0	0	0	0	9	0	0	0	0
Erinaceidae	2	7	1	7	0	45	2	0	0	0
Acanthogorgiidae	0	0	0	0	0	0	0	0	0	0
Odobenidae	3	5	0	3	0	16	2	0	0	0
Doradidae	0	0	0	0	0	0	0	0	0	0
Peltospiridae	0	0	0	0	0	0	0	0	0	0
Lafoeidae	0	0	0	0	0	0	0	0	0	0
Gigaspermaceae	0	0	0	0	0	1	0	0	0	0
Gruidae	1	1	0	2	0	8	0	0	0	0
Cionidae	11	31	0	8	0	116	1	0	0	0
Ephedraceae	0	0	0	0	0	1	0	0	0	0
Somatiidae	0	2	0	0	0	0	0	0	0	0
Phengodidae	0	0	0	0	0	1	0	0	0	0
Caeciliusidae	0	0	0	0	0	7	0	0	0	0
Metridinidae	0	0	0	0	0	3	0	0	0	0
Mesotaeniaceae	0	0	0	0	0	4	0	0	0	0
Blaberidae	0	3	0	0	0	0	0	0	0	0
Bolbophoridae	0	0	0	0	0	0	0	0	0	0
Epistylidae	0	0	0	0	0	0	0	0	0	0
Hemiaulaceae	0	0	0	0	0	3	0	0	0	0
Aglajidae	0	1	0	0	0	0	0	0	0	0
Iotonchiidae	0	0	0	0	0	1	0	0	0	0
Tylidae	0	0	0	0	0	0	0	0	0	0
Lepidopleuridae	0	1	0	0	0	0	0	0	0	0
Margaritiferidae	0	0	0	0	0	1	0	0	0	0
Agaonidae	6	17	4	2	0	71	2	0	0	0
Dinobryaceae	0	0	0	0	0	0	0	0	0	0
Trogossitidae	0	0	0	0	0	0	0	0	0	0
Mantidae	0	0	0	1	0	4	0	0	0	0
Lyophyllaceae	0	0	0	0	0	1	2	0	0	0
Apiosporaceae	2	1	0	8	0	12	1	0	0	0
Ptychoderidae	0	0	0	0	0	3	0	0	0	0
Agelenidae	0	1	0	0	0	1	0	0	0	0
Alydidae	1	5	0	0	0	20	0	0	0	0
Hydrophilidae	0	1	0	2	0	9	0	0	0	0
Tricholomataceae	5	2	0	7	0	15	1	0	0	0
Polypodiaceae	0	0	0	0	0	0	0	0	0	0
Sagittidae	0	0	0	0	0	0	0	0	0	0
Trichinellidae	3	20	0	3	0	53	2	0	0	0
Berberidaceae	0	2	0	0	0	1	0	0	0	0
Phanerochaetaceae	2	5	5	4	0	40	8	0	0	0
Ceramiaceae	0	0	0	0	0	4	0	0	0	0
Inocybaceae	0	0	0	0	0	1	0	0	0	0
Pneumocystidaceae	6	20	1	3	0	87	2	0	0	0
Rajidae	0	0	0	0	0	2	0	0	0	0
Antipathidae	0	0	0	0	0	0	0	0	0	0
Lauraceae	0	0	0	0	0	5	1	0	0	0
Corophiidae	0	1	0	0	0	0	0	0	0	0
Cyperaceae	3	1	0	0	0	10	1	0	0	0
Eriocaulaceae	0	0	0	0	0	0	0	0	0	0
Linaceae	0	9	0	0	0	11	3	0	0	0
Dermateaceae	25	8	1	27	0	121	27	1	0	1
Sphaeromatidae	1	0	0	0	0	0	0	0	0	0
Cossidae	0	0	0	1	0	0	1	0	0	0
Erotylidae	0	1	0	0	0	0	0	0	0	0
Coniopterygidae	0	0	0	0	0	0	0	0	0	0
Megascolecidae	0	0	0	0	0	6	0	0	0	0
Anacardiaceae	0	2	0	0	0	5	0	0	0	0
Unionidae	0	2	0	0	0	8	0	0	0	0
Asparagaceae	3	11	0	6	0	83	2	0	0	0
Cathartidae	0	0	0	0	0	4	0	0	0	0
Tilletiaceae	0	0	0	0	0	0	0	0	0	0
Hemiselmidaceae	0	0	0	0	0	5	0	0	0	0
Lecythidaceae	0	0	0	0	0	2	0	0	0	0
Temoridae	9	31	3	6	0	101	1	0	0	0
Zorotypidae	0	0	0	0	0	1	0	0	0	0
Ophiostomataceae	8	0	3	40	0	101	17	0	0	0
Polyorchidae	0	0	0	0	0	0	0	0	0	0
Pleosporaceae	89	15	11	839	0	5968	187	0	2	4
Leptosphaeriaceae	69	29	6	675	0	298	156	0	1	1
Heliconiaceae	0	1	0	0	0	0	0	0	0	0
Noctuidae	112	412	5	58	0	1875	11	0	2	2
Isognomonidae	0	0	0	0	0	1	0	0	0	0
Poduridae	0	0	0	0	0	1	0	0	0	0
Osmundaceae	0	1	0	0	0	0	0	0	0	0
Donacidae	0	0	0	0	0	0	0	0	0	0
Tettigoniidae	0	3	0	2	0	7	0	0	0	0
Gymnodiniaceae	0	1	0	0	0	0	0	0	0	0
Echinidae	0	1	0	1	0	4	0	0	0	0
Manaosbiidae	0	0	0	0	0	1	0	0	0	0
Isochrysidaceae	0	0	0	0	0	1	0	0	0	0
Mniaceae	0	0	0	0	0	1	0	0	0	0
Streptocephalidae	0	1	0	0	0	0	0	0	0	0
Paruterinidae	0	0	0	0	0	1	0	0	0	0
Rhinocerotidae	4	11	0	6	0	51	1	0	0	0
Anguillidae	0	0	0	0	0	0	0	0	0	0
Caryophylliidae	0	0	0	0	0	0	0	0	0	0
Lithodesmiaceae	0	1	0	0	0	0	0	0	0	0
Ixodidae	7	12	5	4	0	61	5	0	0	0
Syngnathidae	7	23	2	8	0	69	2	0	0	0
Menoponidae	0	0	0	0	0	1	0	0	0	0
Brachycephalidae	0	0	0	0	0	1	0	0	0	0
Ephemerellidae	0	0	0	0	0	1	0	0	0	0
Echinoderidae	0	0	0	0	0	0	0	0	0	0
Ceraphronidae	0	0	4	0	0	1	0	0	0	0
Pneumoridae	1	1	0	0	0	1	0	0	0	0
Geoplanidae	0	0	0	0	0	1	0	0	0	0
Melizoderidae	0	0	0	0	0	0	0	0	0	0
Kareniaceae	1	1	0	0	0	1	0	0	0	0
Pertusariaceae	0	0	0	0	0	0	0	0	0	0
Ricciaceae	0	0	0	0	0	2	0	0	0	0
Verbenaceae	0	0	0	0	0	2	0	0	0	0
