	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/control_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D0-C-1_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D0-C-2_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D0-C-3_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D0-C-4_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D0-I-1_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D0-I-2_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D0-I-3_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D0-I-4_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D0-I-6_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D11-C-1_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D11-C-2_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D11-C-3_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D11-C-4_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D11-I-1_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D11-I-2_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D11-I-3_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D11-I-4_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D11-I-5_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D11-I-6_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D2-C-4_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D2-I-1_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D2-I-2_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D2-I-3_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D2-I-4_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D2-I-5_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D2-I-6_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D5-C-1_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D5-C-3_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D5-C-4_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D5-I-1_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D5-I-2_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D5-I-3_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D5-I-4_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D-5-I-5_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D5-I-6_RunId0091_LaneId1.R1.fq.report
Acidaminococcaceae	0	1	0	0	0	0	0	0	1	0	0	0	0	0	2	5	1	4	0	0	0	1	0	1	0	0	2	0	0	0	0	0	0	0	0	0
Marinilabiliaceae	0	1	0	0	1	1	0	0	1	0	0	0	0	0	4	9	6	3	0	1	0	3	2	2	0	4	0	1	0	1	2	1	1	0	0	0
Enterobacteriaceae	612	3226	2604	1231	1228	1860	1135	2395	588	1469	2497	2604	892	1994	710	784	899	2127	1377	1069	1376	3689	2048	2742	3354	1964	1509	1899	1327	655	4570	3264	1681	1614	2527	692
Orbaceae	0	5	1	1	4	4	2	2	1	3	5	0	3	1	6	8	6	2	1	2	2	3	3	6	5	0	5	2	1	3	1	1	4	2	1	0
Aquificaceae	0	0	0	0	2	0	0	1	0	0	0	0	0	0	8	2	4	3	1	2	0	1	1	1	0	2	1	0	0	0	1	0	0	0	0	0
Chlorobiaceae	0	3	1	9	4	2	4	0	3	0	2	2	1	4	35	34	43	11	8	8	1	30	4	4	3	11	4	0	2	1	12	2	3	4	1	1
Halomonadaceae	0	13	4	35	18	25	20	11	18	4	12	6	19	14	71	152	150	45	11	12	9	120	29	30	14	16	28	7	7	2	31	12	8	22	3	7
Merismopediaceae	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	2	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Eubacteriaceae	0	2	0	0	0	3	0	0	0	0	0	0	0	1	12	16	5	11	0	1	0	3	2	2	4	0	1	0	2	1	0	6	0	0	0	3
Bradyrhizobiaceae	0	121	16	178	178	193	46	102	148	46	36	58	61	48	224	2380	1649	194	44	89	20	1058	126	142	118	79	209	31	20	11	140	65	54	71	22	20
Desulfuromonadaceae	0	2	1	6	0	3	1	0	3	1	1	3	2	0	8	22	18	5	0	6	0	21	6	5	0	0	9	0	0	0	1	1	0	5	0	2
Solibacteraceae	0	3	0	2	2	1	1	2	1	0	0	0	1	0	7	12	11	2	1	9	0	9	1	0	0	1	1	1	0	0	0	0	0	0	1	0
Syntrophaceae	0	6	7	11	5	13	10	9	4	7	7	6	3	9	13	7	7	2	4	7	10	12	7	5	6	3	5	8	12	2	4	13	1	6	2	0
Borreliaceae	0	2	3	3	3	6	5	4	1	4	2	1	1	7	27	10	8	5	8	4	3	3	5	7	3	4	7	8	6	0	5	2	1	3	0	3
Yersiniaceae	1	13	8	18	13	26	25	12	9	13	7	11	11	16	110	90	100	49	26	29	5	85	36	48	28	29	30	13	5	7	58	22	16	20	7	18
Alcaligenaceae	11	30	12	110	44	72	26	35	43	21	24	26	25	29	480	543	928	229	30	45	16	497	319	428	226	188	172	34	9	12	340	149	121	173	47	118
Competibacteraceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Nitrospiraceae	0	2	1	4	3	4	4	9	4	3	2	1	3	2	16	15	12	10	6	3	3	12	3	6	2	1	4	3	4	1	5	0	2	4	0	0
Xanthomonadaceae	194	483	286	317	229	563	186	377	350	418	652	326	252	156	2770	3896	2409	2927	363	255	270	2753	2635	4321	1999	2123	1490	502	241	296	3331	1637	1010	1360	678	823
Actinomycetaceae	0	6	2	34	8	17	10	14	9	4	5	5	4	6	50	126	101	29	16	8	4	102	10	11	11	3	12	2	5	5	9	9	8	5	4	2
Thiotrichaceae	0	3	0	0	1	0	0	0	1	0	0	0	0	1	5	4	10	5	3	3	0	6	2	2	0	1	0	0	0	0	1	0	2	0	0	0
Aerococcaceae	0	3	6	1	0	9	4	1	1	2	2	0	0	0	17	13	13	6	10	7	1	3	5	4	0	2	4	1	1	3	1	2	0	1	1	0
Kofleriaceae	0	7	1	13	1	5	3	4	1	0	1	1	4	0	9	35	34	5	3	4	0	21	3	5	4	2	4	1	2	2	7	3	4	4	1	1
Gallionellaceae	0	5	0	0	1	0	0	0	0	1	0	1	1	2	5	32	21	5	4	3	0	19	4	2	5	3	2	1	3	0	1	1	1	3	1	1
Chromobacteriaceae	0	8	7	14	6	12	4	10	5	4	1	4	3	0	17	109	59	17	7	4	2	61	14	15	11	14	13	1	2	1	21	4	6	10	1	6
Halobacteriovoraceae	0	1	1	0	0	1	0	0	1	0	0	1	0	0	0	3	6	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
Vulgatibacteraceae	0	0	0	5	6	2	0	4	0	0	2	0	0	2	7	13	6	2	1	1	0	15	2	2	0	0	0	0	0	0	2	2	0	1	0	1
Cellvibrionaceae	0	4	2	4	2	12	2	2	9	2	3	3	2	2	17	20	21	11	6	3	0	10	2	3	4	4	6	1	5	1	5	4	8	8	2	2
Fortieaceae	0	0	0	0	0	0	0	1	0	0	0	0	0	0	6	7	2	1	1	0	0	3	0	3	1	0	0	0	0	0	0	0	1	0	0	0
Erysipelotrichaceae	0	7	6	3	1	4	3	1	4	2	1	0	2	0	13	13	11	4	6	5	2	4	2	6	1	3	2	2	4	0	1	1	2	0	0	1
Thermomonosporaceae	0	1	1	12	3	14	2	3	2	3	1	4	0	3	14	51	50	11	6	5	8	41	3	6	3	1	8	2	1	0	8	2	3	2	3	1
Rubrobacteraceae	0	2	0	5	0	7	1	1	2	0	4	0	0	1	5	16	17	4	0	0	0	22	0	1	4	3	3	0	0	0	3	4	2	0	2	2
Prevotellaceae	0	1	0	6	2	2	6	1	1	1	2	1	2	0	18	21	14	11	4	6	0	22	5	11	1	7	2	2	0	0	4	2	2	0	1	0
Natranaerobiaceae	0	0	0	0	4	1	0	0	0	1	2	0	0	0	3	1	5	2	1	3	0	1	1	0	1	1	2	0	0	3	2	0	0	0	0	0
Sporomusaceae	0	2	2	0	1	8	2	1	0	2	2	0	2	1	6	6	8	2	2	2	3	3	3	3	3	1	3	2	1	6	0	1	1	4	2	1
Vibrionaceae	0	8	12	14	6	21	24	9	9	5	14	7	6	12	164	75	131	62	53	41	8	56	34	27	14	17	15	6	11	10	32	16	5	14	5	10
Spongiibacteraceae	0	0	0	0	0	0	0	2	0	0	1	0	0	0	3	4	5	4	0	3	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0
Candidatus Desulfofervidaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fusobacteriaceae	0	6	10	13	5	10	9	9	6	7	4	10	2	1	30	19	22	19	5	12	6	10	12	4	7	6	11	5	4	5	10	7	3	4	7	1
Pelagibacteraceae	0	3	0	2	0	0	1	2	0	0	2	0	0	1	4	9	11	1	1	5	0	2	2	1	0	0	4	0	2	1	1	1	0	1	0	0
Brevibacteriaceae	0	6	2	12	1	6	2	2	0	2	2	3	0	3	26	54	50	19	10	8	1	42	1	9	10	5	3	2	1	3	9	3	3	5	0	0
Selenomonadaceae	0	0	2	1	0	1	3	5	1	2	2	0	0	2	32	14	21	16	4	8	0	8	4	1	4	1	1	2	2	0	7	0	0	2	2	1
Nitrosomonadaceae	0	3	0	2	5	4	2	5	3	3	6	11	5	8	26	64	23	11	8	10	1	21	5	9	24	8	5	2	2	0	13	1	0	2	0	6
Labilitrichaceae	0	3	0	2	2	2	3	6	1	1	1	2	1	3	17	32	35	7	2	7	1	7	2	10	2	1	2	1	0	2	2	0	0	1	0	1
Acidobacteriaceae	0	7	0	9	13	7	3	7	22	4	2	1	2	2	35	34	33	11	6	9	2	32	11	12	3	7	7	1	2	1	9	6	1	1	1	10
Tannerellaceae	0	1	1	1	0	1	0	0	0	0	0	0	1	1	6	2	1	1	6	4	1	2	0	2	0	0	1	0	0	0	0	0	0	1	0	0
Haliscomenobacteraceae	0	0	2	1	3	10	0	2	6	0	3	0	3	0	12	6	19	4	0	1	0	11	4	7	1	1	5	0	2	0	2	3	2	3	0	1
Nakamurellaceae	0	10	5	35	10	31	14	8	8	1	11	12	5	9	19	114	84	25	7	5	6	61	10	19	7	5	11	5	4	6	9	1	7	6	1	1
Thermotogaceae	0	0	0	0	3	4	1	7	2	3	1	0	1	1	16	6	3	6	2	5	1	6	1	0	1	1	5	1	3	0	1	1	1	1	1	1
Methylocystaceae	0	2	1	19	2	8	0	3	11	3	3	1	2	1	7	78	45	9	3	11	2	44	8	5	2	1	5	2	1	1	2	3	1	2	1	2
Bacteroidaceae	0	4	0	3	7	1	5	1	1	4	0	1	3	0	29	29	30	16	13	7	1	27	4	24	4	12	0	1	1	1	5	1	4	5	0	2
Tsukamurellaceae	0	4	0	5	3	2	0	0	0	4	1	3	0	3	5	22	28	13	0	0	0	19	4	7	0	0	4	2	0	0	3	1	1	1	0	0
Acaryochloridaceae	0	0	0	0	0	0	0	0	0	0	1	0	0	0	10	1	4	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0
Streptococcaceae	0	4	6	5	10	8	41	26	10	11	4	2	1	3	134	41	71	37	27	38	1	27	18	28	6	7	25	4	5	4	20	15	11	9	1	4
Rikenellaceae	0	0	0	2	2	3	2	0	0	1	0	0	0	0	8	9	17	5	1	2	2	8	2	0	2	0	3	1	0	0	2	0	1	1	0	1
Tolypothrichaceae	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	1	1	1	1	2	0	1	1	2	0	1	0	0	0	0	1	0	1	1	0	0
Cyclobacteriaceae	0	4	0	4	2	4	4	3	6	4	6	2	1	4	28	38	31	16	6	3	1	25	15	18	14	8	8	0	5	3	16	8	2	10	5	6
Pseudanabaenaceae	0	1	0	0	1	0	0	1	0	0	0	0	0	0	2	13	3	1	1	0	0	0	0	0	0	0	1	0	0	1	1	1	0	1	0	0
Thiobacillaceae	0	5	0	2	1	1	0	0	2	0	1	0	1	1	8	20	7	4	1	1	1	5	1	2	2	1	2	0	1	0	0	3	2	0	1	1
Nostocaceae	0	8	4	8	8	9	1	13	13	2	7	4	2	2	68	32	46	26	14	26	3	22	16	18	9	10	13	8	15	5	5	12	6	7	1	1
Streptomycetaceae	4	258	105	809	333	1156	280	346	429	145	154	221	366	364	1012	4395	3102	683	248	290	243	8913	353	561	275	192	613	247	250	144	353	205	192	261	104	88
Xanthobacteraceae	0	9	1	22	10	11	6	5	11	4	1	6	5	6	18	173	113	16	4	5	7	111	20	11	9	13	10	3	2	2	7	4	11	4	2	4
Chrysiogenaceae	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	6	2	0	2	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0
Spirochaetaceae	0	4	0	4	7	1	5	2	5	1	1	0	0	1	34	24	27	16	6	7	0	11	6	4	4	0	4	2	6	0	5	6	1	6	3	1
Clostridiales Family XIII. Incertae Sedis	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	4	4	1	0	1	0	1	1	1	0	0	1	0	0	0	0	1	0	0	0	0
Brucellaceae	0	8	0	13	2	8	1	4	4	0	2	0	2	1	38	93	66	22	6	11	0	61	17	14	7	4	13	1	2	0	18	5	3	4	2	1
Nannocystaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	3	0	0	0	0	0	0	0
Candidatus Paracaedibacteraceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0
Hahellaceae	0	0	0	7	2	2	0	0	0	0	0	0	0	0	17	7	9	3	4	4	0	5	0	2	2	3	1	0	0	0	2	2	2	0	0	1
Cyanothecaceae	0	4	1	0	3	2	1	3	2	1	1	0	0	0	23	9	9	6	5	4	2	2	2	3	5	0	2	1	4	0	3	3	1	3	0	3
Catenulisporaceae	0	6	3	13	8	19	7	5	7	3	1	6	3	6	12	79	74	8	5	5	1	59	4	14	3	5	7	4	2	3	10	7	1	12	3	2
Kangiellaceae	0	1	0	0	4	2	4	1	2	2	1	1	0	1	4	2	10	7	2	1	0	4	2	3	1	1	2	2	2	0	2	3	0	0	0	2
Entomoplasmataceae	0	0	2	0	1	1	3	2	2	1	3	0	0	0	21	5	10	5	2	1	2	3	2	1	0	1	1	0	0	0	3	0	0	1	1	0
Coleofasciculaceae	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	3	6	3	0	0	0	10	3	0	0	1	0	0	0	0	2	0	0	1	0	0
Hyellaceae	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	1	2	4	2	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	1
Fimbriimonadaceae	0	2	0	1	1	1	2	0	1	0	0	0	0	0	2	5	6	0	0	0	0	4	0	0	0	1	0	0	0	0	0	1	0	0	0	0
Acidimicrobiaceae	0	2	1	10	5	8	3	3	3	3	1	2	2	3	17	42	31	5	1	6	3	18	8	2	6	1	1	2	4	2	4	4	6	2	1	0
Dysgonamonadaceae	0	1	0	1	0	0	0	1	1	0	0	0	0	0	4	6	4	2	0	3	0	8	0	2	0	2	0	0	0	0	0	1	0	0	0	0
Deinococcaceae	0	2	5	17	6	14	9	11	9	4	3	12	14	11	30	119	101	27	4	7	4	60	12	16	13	10	17	2	3	1	20	8	5	10	0	8
Sanguibacteraceae	0	1	1	21	2	9	0	3	2	3	0	1	2	0	107	233	200	136	39	38	3	34	24	50	29	36	23	2	4	0	66	38	13	38	2	6
Glycomycetaceae	0	3	1	10	6	8	4	3	2	0	3	3	1	7	6	45	40	7	4	7	3	44	8	5	9	1	6	1	1	1	7	1	3	3	2	1
Acidothermaceae	0	1	0	2	0	1	1	1	1	0	0	0	1	0	2	12	9	0	1	0	0	7	1	3	0	1	2	0	0	2	0	0	0	2	0	0
Candidatus Midichloriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Francisellaceae	0	6	2	3	4	6	11	9	2	3	9	8	1	1	19	14	13	14	7	7	9	2	10	3	5	4	3	5	5	2	5	5	2	5	4	2
Amoebophilaceae	0	0	0	1	2	1	1	1	3	0	0	0	0	2	4	2	7	0	0	1	0	0	0	1	0	0	0	0	2	0	2	0	1	1	0	0
Idiomarinaceae	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	2	0	0	0	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Criblamydiaceae	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hapalosiphonaceae	0	2	2	7	2	3	1	0	1	0	1	1	3	3	14	4	13	5	4	2	1	2	6	8	6	4	5	2	1	0	4	3	1	3	2	0
Rhodocyclaceae	0	4	3	6	5	1	1	3	3	0	0	2	2	0	11	51	21	9	1	4	2	29	5	8	6	7	3	3	1	1	7	2	2	1	0	1
Proteinivoraceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Holophagaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Moraxellaceae	1	26	16	28	16	42	28	28	25	33	20	12	16	42	782	420	246	166	47	33	27	505	382	3045	407	1481	217	10	23	8	5336	89	513	196	7	159
Nocardioidaceae	1	77	42	691	125	277	123	92	112	47	64	114	209	118	721	2565	2511	691	190	195	106	2006	176	278	107	105	282	119	100	32	172	238	156	212	40	54
Dictyoglomaceae	0	0	0	1	0	1	0	0	0	0	0	0	0	0	2	0	6	1	0	0	0	0	0	3	0	0	1	0	1	0	0	0	0	0	0	0
Thermoanaerobacteraceae	0	3	0	0	0	3	2	2	0	0	1	2	0	0	11	11	12	7	6	3	0	11	5	7	2	2	2	3	0	1	2	0	0	4	0	0
Piscirickettsiaceae	0	2	2	1	2	1	1	2	1	1	1	3	1	1	22	11	14	6	4	6	1	11	2	6	2	3	1	2	6	1	2	2	2	3	0	1
Parvularculaceae	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	4	5	2	0	0	0	5	1	0	0	0	1	0	0	0	1	1	0	0	0	0
Opitutaceae	0	15	3	7	7	9	2	6	6	4	8	3	9	0	19	86	46	12	6	6	3	69	7	10	11	5	6	2	1	1	11	5	2	2	2	1
Acetobacteraceae	0	8	2	58	17	18	4	10	9	3	4	10	8	8	104	194	160	42	12	23	5	136	28	36	24	25	27	5	3	1	33	13	18	13	5	6
Clostridiales Family XVII. Incertae Sedis	0	3	0	2	2	1	1	1	1	1	0	2	2	3	6	14	11	2	0	1	3	5	0	1	0	0	1	0	1	0	0	2	0	1	1	0
Cryomorphaceae	0	3	0	0	3	3	2	5	2	4	2	0	1	1	3	6	7	3	2	2	0	5	7	10	4	2	3	2	1	0	4	1	1	3	2	2
Pseudomonadaceae	152	3425	2980	605	2053	883	54413	9725	7386	1778	2387	2839	2507	1312	19978	22250	7168	13399	750	533	379	43822	60180	69260	36792	63867	26510	359	421	212	69317	29960	17690	29503	809	17602
Rhodothermaceae	0	2	0	7	3	2	6	1	4	0	5	4	2	0	12	26	26	11	5	3	1	23	1	4	4	3	3	1	0	0	7	5	4	0	0	5
Rhodobiaceae	0	4	0	1	3	1	0	3	3	1	1	2	2	0	3	32	14	3	2	1	0	29	2	3	4	2	3	0	0	0	6	0	0	1	0	0
Alicyclobacillaceae	0	0	0	5	1	1	0	1	0	0	1	2	3	0	14	18	6	6	4	4	1	19	4	2	0	3	2	1	0	0	1	2	0	2	0	0
Hyphomicrobiaceae	1	86	11	100	100	367	13	43	59	23	8	11	17	33	103	1497	962	64	12	25	4	647	50	54	57	19	91	13	4	11	62	32	19	20	12	8
Peptostreptococcaceae	0	8	5	4	9	4	6	7	2	1	6	4	3	6	9	18	15	11	8	12	4	9	3	10	5	3	9	6	4	4	3	5	3	5	2	0
Chroococcaceae	0	3	1	7	5	4	2	0	8	1	0	1	1	4	17	9	12	10	4	1	1	10	1	3	2	10	0	2	1	0	1	0	1	4	1	1
Microscillaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Beutenbergiaceae	0	2	1	22	2	8	5	1	1	1	0	3	3	2	17	56	51	17	5	5	4	49	9	4	4	2	3	5	6	0	4	9	1	4	5	1
Rhodobacteraceae	2	54	13	140	53	73	40	37	61	20	20	32	40	31	421	920	799	184	115	119	19	554	59	107	64	55	68	15	12	1	104	43	36	47	12	26
Desulfovibrionaceae	0	14	2	28	14	12	6	7	6	4	4	4	6	5	48	79	75	23	11	13	4	65	13	19	20	9	15	0	10	4	20	5	7	13	2	5
Porphyromonadaceae	0	1	0	1	0	1	0	0	3	1	2	1	1	0	10	5	8	6	3	3	0	4	3	2	0	1	1	0	0	0	1	1	2	0	0	1
Aphanothecaceae	0	1	0	0	0	1	1	1	1	0	0	2	0	0	3	0	2	1	1	1	0	2	0	0	0	0	0	0	1	0	0	1	1	1	0	0
Scytonemataceae	0	1	0	0	3	0	0	2	0	0	1	0	0	0	5	7	11	3	3	1	1	3	8	4	0	1	0	0	0	0	1	0	0	1	0	1
Intrasporangiaceae	0	4	5	110	25	48	16	50	24	8	9	28	34	36	95	476	365	81	16	29	11	316	38	53	29	19	46	22	12	1	38	26	32	27	10	10
Nautiliaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
Veillonellaceae	0	1	1	2	0	0	1	1	1	0	0	0	0	0	6	6	6	1	3	0	1	4	1	2	1	1	3	0	0	0	3	2	0	1	0	0
Methylophilaceae	0	2	0	3	0	65	0	2	3	1	12	0	1	0	24	79	18	7	5	27	0	25	9	16	7	10	6	1	0	0	8	8	2	3	0	4
Symbiobacteriaceae	0	1	0	3	3	4	2	1	0	0	0	1	1	0	6	13	7	3	0	2	0	6	0	0	0	0	3	0	0	0	1	0	0	0	0	3
Sporolactobacillaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0	1	0	1	0	0	0	0	0	0	0	3	0	1	0	0
Saprospiraceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	3	1	1	0	0	1	2	3	0	1	0	0	0	0	2	0	0	0	0	0
Halieaceae	0	1	0	1	1	0	0	1	1	1	0	0	1	1	11	14	10	2	5	2	0	7	3	4	0	1	2	0	0	0	1	3	0	1	0	1
Halobacteroidaceae	0	0	1	0	0	1	0	0	0	0	0	0	0	0	6	5	2	3	1	1	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0
Chthonomonadaceae	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	0	0
Acidithiobacillaceae	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	2	3	3	0	0	0	3	0	0	0	0	1	0	0	1	0	0	0	1	0	0
Hymenobacteraceae	0	13	2	83	15	11	9	4	13	2	6	3	2	8	50	99	67	28	10	14	7	78	16	18	8	9	19	2	2	3	14	13	7	9	3	2
Bernardetiaceae	0	1	0	1	0	1	1	0	0	1	0	2	0	0	5	5	1	2	1	2	0	4	3	2	3	2	0	0	0	0	1	2	0	2	0	0
Enterococcaceae	0	12	5	11	7	14	15	4	14	13	13	7	11	5	55	32	50	14	26	15	7	21	31	15	10	18	14	5	10	3	27	14	4	13	3	13
Melioribacteraceae	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	4	2	0	1	0	3	1	0	0	2	0	0	0	0	0	0	2	0	0	0
Prochloraceae	0	3	1	0	1	0	0	1	4	1	0	2	0	1	24	9	14	6	3	2	0	8	3	3	1	4	3	0	0	3	2	1	1	6	0	0
Thermogemmatisporaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Halanaerobiaceae	0	0	0	0	1	0	0	0	1	0	0	0	1	0	2	3	2	4	0	0	2	3	1	2	3	0	1	0	0	0	1	0	1	1	1	0
Immundisolibacteraceae	0	4	2	3	3	0	1	2	5	0	4	11	7	4	15	21	13	9	1	8	4	13	1	1	1	2	2	0	2	2	1	1	0	0	1	1
Ardenticatenaceae	0	0	0	1	0	4	2	1	2	0	0	0	0	1	3	13	16	1	0	0	0	14	2	2	4	0	3	0	0	0	1	3	1	1	0	0
Barnesiellaceae	0	0	0	0	0	1	0	0	0	0	0	0	0	0	5	3	3	0	0	3	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
